Al_frac,Co_frac,Cr_frac,Hf_frac,Mo_frac,Nb_frac,Si_frac,Ta_frac,Ti_frac,V_frac,W_frac,Zr_frac,Density,Young_Modulus_ROM,Testing_Temp,Yield_Strength,Equilibrium_Conditions_encoded,Single_Multiphase_encoded,Type_Present_Phases_encoded,Tension_Compression_encoded
0.0,0.0,0.0,0.11627906976744187,0.11627906976744187,0.23255813953488375,0.06976744186046512,0.0,0.23255813953488375,0.0,0.0,0.23255813953488375,7.5,,25.0,1370.0,1,0,11,0
0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.0,0.2222222222222222,0.0,0.0,0.2222222222222222,7.2,,25.0,1600.0,1,0,11,0
0.0,0.0,0.0,0.10638297872340426,0.10638297872340426,0.2127659574468085,0.14893617021276595,0.0,0.2127659574468085,0.0,0.0,0.2127659574468085,7.0,,25.0,1550.0,1,0,11,0
0.0,0.0,0.0,0.10204081632653061,0.10204081632653061,0.20408163265306123,0.18367346938775508,0.0,0.20408163265306123,0.0,0.0,0.20408163265306123,6.8,,25.0,1650.0,1,0,11,0
0.0,0.0,0.0,0.125,0.125,0.25,0.0,0.0,0.25,0.0,0.0,0.25,7.9,123.1,25.0,1176.0,1,1,6,0
0.0,0.0,0.0,0.125,0.0,0.125,0.0,0.125,0.375,0.0,0.0,0.25,8.2,106.6,25.0,903.0,1,1,6,0
0.0,0.0,0.0,0.15,0.0,0.2,0.0,0.1,0.3,0.0,0.0,0.25,8.4,103.1,25.0,1150.0,2,1,6,0
0.0,0.0,0.0,0.15,0.0,0.2,0.0,0.1,0.3,0.0,0.0,0.25,8.4,,43.0,1200.0,2,1,6,0
0.0,0.0,0.0,0.15,0.0,0.2,0.0,0.1,0.3,0.0,0.0,0.25,8.4,,72.0,1040.0,2,1,6,0
0.0,0.0,0.0,0.15,0.0,0.2,0.0,0.1,0.3,0.0,0.0,0.25,8.4,,103.0,1380.0,2,1,6,0
0.0,0.0,0.0,0.15,0.0,0.2,0.0,0.1,0.3,0.0,0.0,0.25,8.4,,153.0,1640.0,2,1,6,0
0.0,0.0,0.0,0.15,0.0,0.2,0.0,0.1,0.3,0.0,0.0,0.25,8.4,,196.0,1920.0,3,1,6,0
0.0,0.0,0.0,0.15,0.0,0.2,0.0,0.1,0.3,0.0,0.0,0.25,8.4,,268.8,2390.0,3,1,6,0
0.0,0.0,0.0,0.19047619047619047,0.047619047619047616,0.19047619047619047,0.0,0.19047619047619047,0.19047619047619047,0.0,0.0,0.19047619047619047,9.9,121.0,25.0,1112.0,1,1,6,0
0.0,0.0,0.0,0.23255813953488375,0.11627906976744187,0.23255813953488375,0.06976744186046512,0.0,0.23255813953488375,0.11627906976744187,0.0,0.0,8.5,,25.0,1617.0,1,0,11,0
0.0,0.0,0.0,0.23255813953488375,0.11627906976744187,0.23255813953488375,0.06976744186046512,0.0,0.23255813953488375,0.11627906976744187,0.0,0.0,8.5,,1000.0,398.0,1,0,11,0
0.0,0.0,0.0,0.23255813953488375,0.11627906976744187,0.23255813953488375,0.06976744186046512,0.0,0.23255813953488375,0.11627906976744187,0.0,0.0,8.5,,1200.0,166.0,1,0,11,0
0.0,0.0,0.0,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.0,0.2222222222222222,0.1111111111111111,0.0,0.0,8.2,,25.0,1787.0,1,0,11,0
0.0,0.0,0.0,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.0,0.2222222222222222,0.1111111111111111,0.0,0.0,8.2,,1000.0,614.0,1,0,11,0
0.0,0.0,0.0,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.0,0.2222222222222222,0.1111111111111111,0.0,0.0,8.2,,1200.0,188.0,1,0,11,0
0.0,0.0,0.0,0.2127659574468085,0.10638297872340426,0.2127659574468085,0.14893617021276595,0.0,0.2127659574468085,0.10638297872340426,0.0,0.0,7.9,,25.0,2134.0,1,0,11,0
0.0,0.0,0.0,0.2127659574468085,0.10638297872340426,0.2127659574468085,0.14893617021276595,0.0,0.2127659574468085,0.10638297872340426,0.0,0.0,7.9,,1000.0,673.0,1,0,11,0
0.0,0.0,0.0,0.2127659574468085,0.10638297872340426,0.2127659574468085,0.14893617021276595,0.0,0.2127659574468085,0.10638297872340426,0.0,0.0,7.9,,1200.0,235.0,1,0,11,0
0.0,0.0,0.0,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0,0.18181818181818182,9.9,130.5,25.0,1317.0,1,1,6,0
0.0,0.0,0.0,0.25,0.125,0.25,0.0,0.0,0.25,0.125,0.0,0.0,9.0,131.9,25.0,1260.0,1,1,6,0
0.0,0.0,0.0,0.25,0.125,0.25,0.0,0.0,0.25,0.125,0.0,0.0,9.0,,1000.0,368.0,1,1,6,0
0.0,0.0,0.0,0.25,0.125,0.25,0.0,0.0,0.25,0.125,0.0,0.0,9.0,,1200.0,60.0,1,1,6,0
0.0,0.0,0.0,0.17391304347826086,0.13043478260869565,0.17391304347826086,0.0,0.17391304347826086,0.17391304347826086,0.0,0.0,0.17391304347826086,9.9,139.1,25.0,1373.0,1,1,6,0
0.0,0.0,0.0,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.0,0.16666666666666669,0.16666666666666669,0.0,0.0,0.16666666666666669,9.9,147.0,25.0,1512.0,1,1,6,0
0.0,0.0,0.0,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.0,0.16666666666666669,0.16666666666666669,0.0,0.0,0.16666666666666669,9.9,,800.0,1007.0,1,1,6,0
0.0,0.0,0.0,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.0,0.16666666666666669,0.16666666666666669,0.0,0.0,0.16666666666666669,9.9,,1000.0,814.0,1,1,6,0
0.0,0.0,0.0,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.0,0.16666666666666669,0.16666666666666669,0.0,0.0,0.16666666666666669,9.9,,1200.0,556.0,1,1,6,0
0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,8.7,139.2,25.0,1719.0,1,1,6,0
0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,8.7,,800.0,825.0,1,1,6,0
0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,8.7,,900.0,728.0,1,1,6,0
0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,8.7,,1000.0,635.0,1,1,6,0
0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,8.7,,1100.0,397.0,1,1,6,0
